dr,brigade,latitude,longitude
ALGER EXTERIEUR,BRIGADE POLYVALENTE A BOUIRA,36.3833,3.9000
ALGER EXTERIEUR,BRIGADE POLYVALENTE A TIZI OUZOU,36.7169,4.0497
ALGER EXTERIEUR,BRIGADE SCANNER,36.7538,3.0588
ALGER PORT,BRIGADE DE VISITE AUX VOYAGEURS,36.7833,3.0667
ALGER PORT,I.P.COLIS POSTAUX,36.7738,3.0650
ALGER PORT,IPCOC PORT D'ALGER,36.7833,3.0667
ANNABA,BRIGADE DE LA LUTTE CONTRE LE TRAFIC ILLICITE DES STUPEFIANTS (ANNABA),36.9000,7.7667
ANNABA,BRIGADE DE VISITE AUX VOYAGEURS AEROPORT,36.8262,7.8152
ANNABA,BRIGADE DE VISITE AUX VOYAGEURS AÉROPORT,36.8262,7.8152
ANNABA,BRIGADE MOBILE A ANNABA,36.9000,7.7667
ANNABA,BRIGADE MOBILE A EL TARF,36.7678,8.3137
ANNABA,BRIGADE MOBILE A SOUK AHRAS,36.2833,7.9500
ANNABA,BRIGADE POLYVALENTE A BOUHADJAR,36.4589,8.2203
ANNABA,BRIGADE POLYVALENTE A EL HEDDADA,36.7443,8.5868
ANNABA,BRIGADE POLYVALENTE A EL KALA,36.8954,8.4448
ANNABA,BRIGADE POLYVALENTE A GUELMA,36.4667,7.4333
ANNABA,BRIGADE POLYVALENTE A M'DAOUROUCH,36.3667,7.8333
ANNABA,BRIGADE POLYVALENTE A OULED MOUMEN,36.4500,8.2833
BECHAR,BRIGADE MOBILE A ADRAR,27.8742,-0.2939
BECHAR,BRIGADE MOBILE A NAAMA,33.2667,-0.3167
BECHAR,BRIGADE MOBILE A TINDOUF,27.6742,-8.1474
BECHAR,BRIGADE POLYVALENTE A ABADLA,31.0170,-2.7330
BECHAR,BRIGADE POLYVALENTE A AIN SEFRA,32.7500,-0.5833
BECHAR,BRIGADE POLYVALENTE A BENI ABBES,30.0833,-2.1667
BECHAR,BRIGADE POLYVALENTE A BORJBADJIMOKHTAR,21.3167,0.9500
BECHAR,BRIGADE POLYVALENTE A HASSI EL KHABI,29.9000,-1.7167
BECHAR,BRIGADE POLYVALENTE A MECHERIA,33.5500,-0.2833
BECHAR,BRIGADE POLYVALENTE A MECHRAA ENNOUAR (PK 34),32.8833,-1.0500
BECHAR,BRIGADE POLYVALENTE A OUM EL ASSEL,26.0000,-8.4000
BECHAR,BRIGADE POLYVALENTE A REGGANE,26.7167,0.1667
BECHAR,BRIGADE POLYVALENTE AU PK 75,30.7000,-2.0000
BECHAR,BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS DE BECHAR,31.6167,-2.2167
BLIDA,BRIGADE MOBILE A BLIDA,36.4801,2.8308
BLIDA,BRIGADE MOBILE A SIDI MOUSSA,36.6030,3.0870
BLIDA,BRIGADE MOBILE A TIPAZA,36.5939,2.4485
BLIDA,BRIGADE MOBILE AUX PINS MARITIMES,36.7400,3.1500
BLIDA,BRIGADE MOBILE REGIONALE DE BLIDA,36.4801,2.8308
CHLEF,BRIGADE DE VISITE AUX VOYAGEURS,36.1653,1.3345
CHLEF,BRIGADE MOBILE A MOSTAGANEM,35.9312,0.0897
CHLEF,BRIGADE MOBILE A TIARET,35.3667,1.3167
CHLEF,BRIGADE POLYVALENTE A CHLEF ( COLIS POSTAUX ),36.1653,1.3345
